Time,Error
17640,904.329214
17700,854.124169
17760,805.423787
17820,768.375065
17880,748.474565
17940,744.176631
18000,748.308825
18060,752.458866
18120,751.259935
18180,744.74915
18240,738.540863
18300,741.637043
18360,761.85612
18420,800.863029
18480,852.550232
18540,905.861135
18600,949.166596
18660,973.499783
18720,974.184327
18780,951.370825
18840,909.889688
18900,858.480201
18960,808.12299
19020,769.098915
19080,747.183992
19140,741.166564
19200,744.113237
19260,747.7101
19320,746.614422
19380,740.879132
19440,736.120336
19500,741.246298
19560,763.807191
19620,805.089171
19680,858.68525
19740,913.421423
19800,957.681857
19860,982.554213
19920,983.405093
19980,960.397976
20040,918.344908
20100,865.949095
20160,814.177397
20220,773.391073
20280,749.595791
20340,741.904475
20400,743.659385
20460,746.694737
20520,745.723007
20580,740.812496
20640,737.547002
20700,744.68439
20760,769.464077
20820,812.805456
20880,868.061182
20940,924.000909
21000,969.058861
21060,994.392542
21120,995.415949
21180,972.305378
21240,929.850368
21300,876.704581
21360,823.789305
21420,781.4929
21480,755.995466
21540,746.715102
21600,747.299093
21660,749.778166
21720,748.951841
21780,744.902337
21840,743.144651
21900,752.230422
21960,779.054419
22020,824.193721
22080,880.826186
22140,937.725612
22200,983.410225
22260,1009.120458
22320,1010.321206
22380,987.201759
22440,944.526364
22500,890.888161
22560,837.134127
22620,793.627661
22680,766.663248
22740,755.933414
22800,755.408483
22860,757.358175
22920,756.698657
22980,753.52211
23040,753.236013
23100,764.133931
23160,792.745466
23220,839.345246
23280,897.010058
23340,954.579104
23400,1000.687378
23460,1026.671586
23520,1028.053574
23580,1005.041338
23640,962.380121
23700,908.604217
23760,854.471796
23820,810.278202
23880,782.36645
23940,770.652734
24000,769.452356
24000,769.452356
24060,733.393463
24120,612.437494
24180,378.878062
24240,153.144364
24300,376.104123
24360,677.053751
24420,921.304963
24480,1092.118219
24540,1181.628482
24600,1181.842998
24660,1089.922647
24720,914.147235
24780,674.82463
24840,404.168516
24900,182.548217
24960,274.917711
25020,488.700867
25080,657.097001
25140,747.637881
25200,747.863284
25260,657.133567
25320,487.112357
25380,272.498534
25440,197.684116
25500,430.268262
25560,705.682502
25620,947.034878
25680,1123.568843
25740,1216.456054
25800,1216.675605
25860,1125.010403
25920,951.778575
25980,716.431065
26040,449.50779
26100,221.458669
26160,262.781505
26220,462.146347
26280,626.712713
26340,715.911406
26400,716.176737
26460,626.966852
26520,461.335808
26580,262.775035
26640,236.665407
26700,474.147471
26760,747.512665
26820,987.49765
26880,1163.229346
26940,1255.741811
27000,1255.955356
27060,1164.640723
27120,992.152872
27180,758.046217
27240,492.835015
27300,260.378919
27360,257.544353
27420,438.403553
27480,597.995788
27540,685.587018
27600,685.880464
27660,598.359966
27720,437.939253
27780,258.948393
27840,275.709139
27900,517.18641
27960,789.001116
28020,1027.838672
28080,1202.878812
28140,1295.054737
28140,1295.054737
28200,1279.783109
28260,1268.675738
28320,1270.323239
28380,1281.04977
28440,1301.262928
28500,1334.016706
28560,1375.70026
28620,1413.824379
28680,1435.267389
28740,1434.044506
28800,1411.712979
28860,1374.432707
28920,1331.102222
28980,1292.059528
29040,1266.256763
29100,1257.454233
29160,1262.514469
29220,1273.51181
29280,1281.967128
29340,1282.573668
29400,1275.204069
29460,1265.018483
29520,1260.558292
29580,1269.962371
29640,1296.654789
29700,1337.037549
29760,1381.747361
29820,1419.367115
29880,1440.260733
29940,1439.145083
30000,1416.209749
30060,1376.994593
30120,1331.102444
30180,1289.665291
30240,1261.773241
30300,1251.065053
30360,1254.504559
30420,1264.386976
30480,1272.326233
30540,1272.997294
30600,1266.269095
30660,1257.329024
30720,1254.692207
30780,1266.341933
30840,1295.425131
30900,1338.03488
30960,1384.565664
31020,1423.462836
31080,1445.036927
31140,1443.996218
31200,1420.537439
31260,1380.217904
31320,1332.691003
31380,1289.214494
31440,1259.10708
31500,1246.303856
31560,1248.035767
31620,1256.758014
31680,1264.141469
31740,1264.871204
31800,1258.82342
31860,1251.187763
31920,1250.427079
31980,1264.35665
32040,1295.83801
32100,1340.65181
32160,1388.960735
32220,1429.093577
32280,1451.325535
32340,1450.363224
32400,1426.407156
32460,1385.021971
32520,1335.895623
32580,1290.391333
32640,1258.03941
32700,1243.069695
32760,1242.998857
32820,1250.47154
32880,1257.242482
32940,1258.024082
33000,1252.706164
33060,1246.475677
33120,1247.726352
33180,1264.081032
33240,1298.095522
33300,1345.232692
33360,1395.432151
33420,1436.921079
33420,1436.921079
33480,1472.785837
33540,1549.936561
33600,1670.267755
33660,1823.691217
33720,1990.509141
33780,2149.494607
33840,2283.443806
33900,2379.887838
33960,2430.041271
34020,2428.841207
34080,2376.108294
34140,2277.355584
34200,2143.32032
34260,1988.434425
34320,1828.893045
34380,1680.701574
34440,1557.800095
34500,1470.550721
34560,1425.201727
34620,1424.566771
34680,1469.000409
34740,1556.315795
34800,1680.591005
34860,1831.260257
34920,1993.637358
34980,2150.761061
35040,2285.772735
35100,2384.150858
35160,2435.449379
35220,2434.403912
35280,2381.382361
35340,2282.218664
35400,2147.499904
35460,1991.382984
35520,1830.009914
