Time,True Heading
16380,-1.083045
16440,-1.085516
16500,-1.087995
16560,-1.090482
16620,-1.092977
16680,-1.09548
16740,-1.09799
16800,-1.100509
16860,-1.103035
16920,-1.105569
16980,-1.108112
17040,-1.110662
17100,-1.113219
17160,-1.115785
17220,-1.118359
17280,-1.12094
17340,-1.12353
17400,-1.126127
17460,-1.128732
17520,-1.131345
17580,-1.133965
17640,-1.136594
17700,-1.13923
17760,-1.141874
17820,-1.144526
17880,-1.147185
17940,-1.149852
18000,-1.152527
18060,-1.15521
18120,-1.1579
18180,-1.160598
18240,-1.163303
18300,-1.166016
18360,-1.168737
18420,-1.171466
18480,-1.174201
18540,-1.176945
18600,-1.179696
18660,-1.182454
18720,-1.18522
18780,-1.187994
18840,-1.190775
18900,-1.193563
18960,-1.196359
19020,-1.199162
19080,-1.201972
19140,-1.20479
19200,-1.207615
19260,-1.210447
19320,-1.213287
19380,-1.216133
19440,-1.218987
19500,-1.221848
19560,-1.224716
19620,-1.227591
19680,-1.230474
19740,-1.233363
19800,-1.236259
19860,-1.239162
19920,-1.242072
19980,-1.244989
20040,-1.247913
20100,-1.250844
20160,-1.253781
20220,-1.256725
20280,-1.259676
20340,-1.262633
20400,-1.265597
20460,-1.268568
20520,-1.271545
20580,-1.274528
20640,-1.277518
20700,-1.280514
20760,-1.283517
20820,-1.286526
20880,-1.289541
20940,-1.292563
21000,-1.295591
21060,-1.298624
21120,-1.301664
21180,-1.30471
21240,-1.307762
21300,-1.310819
21360,-1.313883
21420,-1.316952
21480,-1.320027
21540,-1.323108
21600,-1.326195
21660,-1.329287
21720,-1.332384
21780,-1.335488
21840,-1.338596
21900,-1.34171
21960,-1.344829
22020,-1.347954
22080,-1.351083
22140,-1.354218
22200,-1.357358
22260,-1.360503
22320,-1.363653
22380,-1.366808
22440,-1.369967
22500,-1.373132
22560,-1.376301
22620,-1.379474
22680,-1.382652
22740,-1.385835
22800,-1.389022
22860,-1.392214
22920,-1.39541
22980,-1.39861
23040,-1.401814
23100,-1.405022
23160,-1.408235
23220,-1.411451
23280,-1.414671
23340,-1.417895
23400,-1.421123
23460,-1.424354
23520,-1.427589
23580,-1.430828
23640,-1.43407
23700,-1.437315
23760,-1.440564
23820,-1.443816
23880,-1.447071
23880,-1.450329
23880,-1.450329
23940,3.094667
24000,3.095049
24060,3.095423
24120,3.095791
24180,3.096151
24240,3.096505
24300,3.096853
24360,3.097194
24420,3.097529
24480,3.097858
24540,3.098181
24600,3.098499
24660,3.098811
24720,3.099118
24780,3.099419
24840,3.099715
24900,3.100007
24960,3.100293
25020,3.100574
25080,3.100851
25140,3.101123
25200,3.101391
25260,3.101654
25320,3.101913
25380,3.102168
25440,3.102418
25500,3.102665
25560,3.102908
25620,3.103146
25680,3.103381
25740,3.103613
25800,3.103841
25860,3.104065
25920,3.104285
25980,3.104503
26040,3.104717
26100,3.104928
26160,3.105135
26220,3.10534
26280,3.105541
26340,3.10574
26400,3.105935
26460,3.106128
26520,3.106317
26580,3.106504
26640,3.106688
26700,3.106869
26760,3.107048
26820,3.107225
26880,3.107398
26940,3.107569
27000,3.107738
27060,3.107905
27120,3.108068
27180,3.10823
27240,3.10839
27300,3.108547
27360,3.108702
27420,3.108855
27480,3.109005
27540,3.109154
27600,3.1093
27660,3.109445
27720,3.109587
27780,3.109728
27840,3.109866
27900,3.110003
27960,3.110138
27960,3.110271
27960,3.110271
28020,-1.590205
28080,-1.592307
28140,-1.594409
28200,-1.596511
28260,-1.598612
28320,-1.600713
28380,-1.602813
28440,-1.604913
28500,-1.607013
28560,-1.609112
28620,-1.61121
28680,-1.613308
28740,-1.615405
28800,-1.617502
28860,-1.619598
28920,-1.621693
28980,-1.623787
29040,-1.625881
29100,-1.627974
29160,-1.630066
29220,-1.632157
29280,-1.634248
29340,-1.636337
29400,-1.638426
29460,-1.640513
29520,-1.6426
29580,-1.644685
29640,-1.64677
29700,-1.648853
29760,-1.650936
29820,-1.653017
29880,-1.655097
29940,-1.657176
30000,-1.659253
30060,-1.66133
30120,-1.663405
30180,-1.665479
30240,-1.667551
30300,-1.669622
30360,-1.671692
30420,-1.67376
30480,-1.675827
30540,-1.677892
30600,-1.679956
30660,-1.682018
30720,-1.684079
30780,-1.686138
30840,-1.688196
30900,-1.690252
30960,-1.692306
31020,-1.694358
31080,-1.696409
31140,-1.698458
31200,-1.700505
31260,-1.702551
31320,-1.704595
31380,-1.706636
31440,-1.708676
31500,-1.710714
31560,-1.71275
31620,-1.714785
31680,-1.716817
31740,-1.718847
31800,-1.720875
31860,-1.722901
31920,-1.724925
31980,-1.726947
32040,-1.728966
32100,-1.730984
32160,-1.732999
32220,-1.735013
32280,-1.737023
32340,-1.739032
32400,-1.741038
32460,-1.743042
32520,-1.745044
32580,-1.747044
32640,-1.749041
32700,-1.751035
32760,-1.753027
32820,-1.755017
32880,-1.757004
32940,-1.758989
33000,-1.760971
33060,-1.762951
33120,-1.764928
33180,-1.766903
33240,-1.768875
33240,-1.770844
33240,-1.770844
33300,-2.131637
33360,-2.133672
33420,-2.135698
33480,-2.137715
33540,-2.139723
33600,-2.141723
33660,-2.143714
33720,-2.145696
33780,-2.147669
33840,-2.149634
33900,-2.15159
33960,-2.153538
34020,-2.155476
34080,-2.157407
34140,-2.159328
34200,-2.161241
34260,-2.163146
34320,-2.165041
34380,-2.166929
34440,-2.168808
34500,-2.170678
34560,-2.17254
34620,-2.174393
34680,-2.176238
34740,-2.178075
34800,-2.179903
34860,-2.181723
34920,-2.183534
34980,-2.185337
35040,-2.187132
35100,-2.188919
35160,-2.190697
35220,-2.192466
35280,-2.194228
35340,-2.195982
35400,-2.197727
35460,-2.199464
35520,-2.201193
35580,-2.202914
35640,-2.204627
35700,-2.206331
35760,-2.208028
35820,-2.209716
35880,-2.211397
35940,-2.213069
36000,-2.214734
36060,-2.21639
36120,-2.218039
36180,-2.219679
36240,-2.221312
36300,-2.222937
36360,-2.224554
36420,-2.226163
36480,-2.227764
36540,-2.229358
36600,-2.230944
36660,-2.232522
36720,-2.234092
36780,-2.235655
36840,-2.23721
36900,-2.238757
36960,-2.240297
37020,-2.241829
37080,-2.243353
37140,-2.24487
37200,-2.24638
37260,-2.247881
37320,-2.249376
37380,-2.250863
37440,-2.252342
37500,-2.253814
37560,-2.255279
37620,-2.256736
37680,-2.258186
37740,-2.259628
37800,-2.261064
37860,-2.262491
37920,-2.263912
37980,-2.265325
38040,-2.266732
38100,-2.268131
38100,-2.269522
38100,-2.269522
38160,-0.921669
38220,-0.9236
38280,-0.925543
38340,-0.927498
38400,-0.929466
38460,-0.931447
38520,-0.93344
38580,-0.935446
38640,-0.937465
38700,-0.939496
38760,-0.941541
38820,-0.943598
38880,-0.945668
38940,-0.947751
39000,-0.949847
39060,-0.951956
39120,-0.954078
39180,-0.956214
39240,-0.958362
39300,-0.960524
39360,-0.962698
39420,-0.964886
39480,-0.967088
39540,-0.969302
39600,-0.971531
39660,-0.973772
39720,-0.976027
39780,-0.978295
39840,-0.980577
39900,-0.982873
39960,-0.985182
40020,-0.987505
40080,-0.989841
40140,-0.992191
40200,-0.994555
40260,-0.996933
40320,-0.999325
40380,-1.00173
40440,-1.004149
40500,-1.006582
40560,-1.009029
40560,-1.01149
40560,-1.01149
40620,-1.222939
40680,-1.227746
40740,-1.232584
40800,-1.237451
40860,-1.242349
40920,-1.247276
40980,-1.252233
41040,-1.257219
41100,-1.262233
41160,-1.267277
41220,-1.272349
41280,-1.277449
41340,-1.282576
41400,-1.287732
41460,-1.292914
41520,-1.298123
41580,-1.303359
41640,-1.308621
41700,-1.313908
41760,-1.319221
41820,-1.32456
41880,-1.329922
41940,-1.335309
42000,-1.34072
42060,-1.346154
42120,-1.351611
42180,-1.357091
42240,-1.362593
42300,-1.368116
42360,-1.373661
42420,-1.379226
42480,-1.384812
42540,-1.390417
42600,-1.396041
42660,-1.401683
42720,-1.407344
42780,-1.413023
42840,-1.418718
42900,-1.42443
42960,-1.430158
43020,-1.435901
43080,-1.441659
43140,-1.447431
43200,-1.453217
43260,-1.459016
43320,-1.464827
43380,-1.470649
43440,-1.476483
43500,-1.482328
43560,-1.488182
43620,-1.494046
43680,-1.499918
43740,-1.505798
43800,-1.511686
43860,-1.51758
43920,-1.52348
43980,-1.529385
44040,-1.535296
44100,-1.54121
44160,-1.547127
44220,-1.553048
44280,-1.55897
44340,-1.564893
44400,-1.570818
44460,-1.576742
44520,-1.582666
44580,-1.588588
44640,-1.594508
44700,-1.600426
44760,-1.60634
44820,-1.61225
44880,-1.618155
44940,-1.624056
45000,-1.62995
45060,-1.635837
45120,-1.641717
45180,-1.647589
45240,-1.653453
45300,-1.659307
45360,-1.665151
45420,-1.670985
45480,-1.676808
45540,-1.682619
45600,-1.688418
45660,-1.694203
45720,-1.699975
45780,-1.705733
45840,-1.711476
45900,-1.717204
45960,-1.722916
46020,-1.728611
46080,-1.734289
46140,-1.73995
46200,-1.745593
46260,-1.751217
46320,-1.756822
46380,-1.762407
46380,-1.767972
46380,-1.767972
46440,0.998722
46500,1.002129
46560,1.005561
46620,1.009018
46680,1.0125
46740,1.016007
46800,1.019539
46860,1.023097
46920,1.02668
46980,1.030289
47040,1.033923
47100,1.037583
47160,1.041268
47220,1.044979
47280,1.048716
47340,1.052478
47400,1.056267
47460,1.060081
47520,1.06392
47580,1.067786
47640,1.071678
47700,1.075595
47760,1.079539
47820,1.083508
47880,1.087504
47940,1.091525
48000,1.095572
48060,1.099645
48120,1.103745
48180,1.10787
48240,1.112021
48300,1.116198
48300,1.120401
48300,1.120401
48360,1.001845
48420,1.003426
48480,1.005012
