=== Waypoint List ===
Longitude = 50.479869, Latitude = 6.728650, Altitude = 120.606517m, Distance left = 2142237.774457m, Subpoint 18
Longitude = 50.552834, Latitude = 6.955591, Altitude = 120.665133m, Distance left = 2124237.453603m, Subpoint 19
Longitude = 50.625356, Latitude = 7.183234, Altitude = 120.723690m, Distance left = 2106237.132399m, Subpoint 20
Longitude = 50.697434, Latitude = 7.411578, Altitude = 120.782189m, Distance left = 2088236.810846m, Subpoint 21
Longitude = 50.769064, Latitude = 7.640622, Altitude = 120.840629m, Distance left = 2070236.488943m, Subpoint 22
Longitude = 50.840244, Latitude = 7.870367, Altitude = 120.899011m, Distance left = 2052236.166691m, Subpoint 23
Longitude = 50.910971, Latitude = 8.100811, Altitude = 120.957334m, Distance left = 2034235.844092m, Subpoint 24
Longitude = 50.981244, Latitude = 8.331955, Altitude = 121.015599m, Distance left = 2016235.521144m, Subpoint 25
Longitude = 51.051059, Latitude = 8.563797, Altitude = 121.073806m, Distance left = 1998235.197850m, Subpoint 26
Longitude = 51.120414, Latitude = 8.796337, Altitude = 121.131955m, Distance left = 1980234.874209m, Subpoint 27
Longitude = 51.189307, Latitude = 9.029573, Altitude = 121.190045m, Distance left = 1962234.550221m, Subpoint 28
Longitude = 51.257734, Latitude = 9.263506, Altitude = 121.248078m, Distance left = 1944234.225889m, Subpoint 29
Longitude = 51.325694, Latitude = 9.498134, Altitude = 121.306052m, Distance left = 1926233.901211m, Subpoint 30
Longitude = 51.393184, Latitude = 9.733456, Altitude = 121.363968m, Distance left = 1908233.576188m, Subpoint 31
Longitude = 51.460201, Latitude = 9.969470, Altitude = 121.421827m, Distance left = 1890233.250822m, Subpoint 32
Longitude = 51.526743, Latitude = 10.206177, Altitude = 121.479627m, Distance left = 1872232.925112m, Subpoint 33
Longitude = 51.592807, Latitude = 10.443573, Altitude = 121.537370m, Distance left = 1854232.599059m, Subpoint 34
Longitude = 51.658391, Latitude = 10.681659, Altitude = 121.595055m, Distance left = 1836232.272663m, Subpoint 35
Longitude = 51.723492, Latitude = 10.920432, Altitude = 121.652682m, Distance left = 1818231.945925m, Subpoint 36
Longitude = 51.788108, Latitude = 11.159892, Altitude = 121.710252m, Distance left = 1800231.618846m, Subpoint 37
Longitude = 51.852236, Latitude = 11.400036, Altitude = 121.767764m, Distance left = 1782231.291426m, Subpoint 38
Longitude = 51.915874, Latitude = 11.640862, Altitude = 121.825219m, Distance left = 1764230.963665m, Subpoint 39
Longitude = 51.979019, Latitude = 11.882370, Altitude = 121.882616m, Distance left = 1746230.635564m, Subpoint 40
Longitude = 52.041668, Latitude = 12.124556, Altitude = 121.939956m, Distance left = 1728230.307124m, Subpoint 41
Longitude = 52.103820, Latitude = 12.367420, Altitude = 121.997238m, Distance left = 1710229.978344m, Subpoint 42
Longitude = 52.165471, Latitude = 12.610959, Altitude = 122.054464m, Distance left = 1692229.649226m, Subpoint 43
Longitude = 52.226620, Latitude = 12.855171, Altitude = 122.111632m, Distance left = 1674229.319771m, Subpoint 44
Longitude = 52.287263, Latitude = 13.100054, Altitude = 122.168742m, Distance left = 1656228.989977m, Subpoint 45
Longitude = 52.347398, Latitude = 13.345605, Altitude = 122.225796m, Distance left = 1638228.659847m, Subpoint 46
Longitude = 52.407023, Latitude = 13.591822, Altitude = 122.282793m, Distance left = 1620228.329380m, Subpoint 47
